,id,label,parent_label,description,smirks
162,RXNO:0000531,Boord olefin synthesis,olefination,Etherification of an aldehyde followed by bromination and reaction with a Grignard reagent followed by treatment with zinc to eliminate the halogen and alkoxy groups to produce an olefin.,
163,RXNO:0000074,Wurtz reaction,carbon-carbon homocoupling reaction,A carbon-carbon homocoupling reaction of two molecules of an alkyl halide with sodium to give a symmetrical product.,
164,RXNO:0000213,"Sakurai reaction, enone",Sakurai reaction,"A carbon-carbon coupling reaction in which an enone reacts with allyltrimethylsilane to form a delta,epsilon-unsaturated carbonyl compound.",
165,RXNO:0000408,Appel chlorination,Appel halogenation,Conversion of an alcohol to an alkyl chloride with triphenylphosphine and tetrachloromethane.,
166,RXNO:0000328,silyl protection,hydroxyl group protection,A hydroxyl group protection where the hydroxyl oxygen atom is protected by formation of a silyl ether.,
167,RXNO:0000256,Dess-Martin oxidation,alcohol oxidation,The oxidation of a primary alcohol to an aldehyde or a secondary alcohol to a ketone using the Dess-Martin periodinane.,
168,RXNO:0000060,Arbuzov reaction,substitution step,The alkylation of a trialkyl phosphite with an alkyl halide or acyl halide to give an alkyl phosphonate.,
169,RXNO:0000201,Steglich rearrangement,rearrangement step,The rearrangement of an oxazolyl carbonate to a C-carboxyazlactone.,
170,RXNO:0000420,Kröhnke pyridine synthesis,pyridine synthesis,"Condensation of a 1,5-diketone with ammonium acetate in acetic acid to form a pyridine.",
171,RXNO:0000083,Paternò–Büchi reaction,oxacycle synthesis,A photochemical cycloaddition between an aldehyde or ketone and an alkene to give an oxetane.,[C:1]=[O:2].[C:3]=[C:4]>>[C:1]1[O:2][C:3][C:4]1
172,RXNO:0000289,Woehler reaction,functional group modification,"The formation of urea from ammonium cyanate. Ammonium cyanate is unstable, and so is formed in situ from either (a) cyanic acid and ammonia, (b) a metal cyanate and an ammonium salt, or (c) a metal cyanate and ammonia.",
173,RXNO:0000265,aza-Wittig reaction,carbonyl compound to imine conversion,Reaction of a carbonyl compound with a phosphazene to give an imine.,
174,RXNO:0000512,Smith indole synthesis,indole synthesis,Reaction of a N-(2-alkylphenyl)-trimethylsilylamine with two equivalents of organolithium and an ester or carboxylic acid to form an indole.,
175,RXNO:0000264,aza-Baylis-Hillman reaction,Baylis-Hillman reaction,A carbon-carbon coupling of an imine to an activated alkene in the presence of a nucleophilic base to give an allylic amine.,
176,RXNO:0000412,Newman-Kwart rearrangement,functional group modification,Rearrangement of an O-aryl thiocarbamate to an S-aryl thiocarbamate by migration of the aryl group.,
177,RXNO:0000307,Mori-Ban indole synthesis,indole synthesis,"An intramolecular Heck reaction of an ortho-halo-aniline with an alkene, catalysed by palladium.",
178,RXNO:0000432,tert-butyl protection,carboxylic acid protection,A carboxy group protection where the product is a tert-butyl ester.,
179,RXNO:0000550,Collins oxidation,functional group oxidation,Oxidation of a primary alcohol with a pyridine-chromium trioxide complex in dichloromethane to yield an aldehyde.,
180,RXNO:0000062,Skraup reaction,quinoline synthesis,A condensation between an aromatic amine and glycerol to give a quinoline.,
181,RXNO:0000198,2-aza-Cope rearrangement,aza-Cope rearrangement,"The rearrangement of a 2-aza-1,5-hexadiene to form an imine.",
182,RXNO:0000088,Negishi coupling,carbon-carbon coupling reaction,A carbon-carbon coupling reaction between an organohalide or organotriflate and an organozinc compound. The reaction is catalysed by palladium or nickel.,
183,RXNO:0000024,Heck reaction,palladium-catalysed carbon-carbon coupling reaction,"A carbon-carbon coupling reaction where an organohalide or triflate couples to a terminal olefin to produce an internal olefin, catalysed by palladium. It is stereospecific.",
184,RXNO:0000452,ketone Sakurai reaction,"Sakurai reaction, aldehyde or ketone",A carbon-carbon coupling reaction in which a ketone reacts with allyltrimethylsilane to form a homoallylic alcohol.,
185,RXNO:0000482,Schmittel cyclisation,ring formation reaction step,"Cyclization of a enynyl allene to yield a 1-methyl-5-methylenecyclopenta-1,3-diene biradical with radical centres on the methyl group and methylene group.",
186,RXNO:0000225,Wohl-Ziegler bromination,functional group addition step,"The allylic or benzylic bromination of hydrocarbons using an N-bromoimide and a radical initiator, to give an allylic or benzylic bromide.",
187,RXNO:0000103,Gabriel synthesis,substitution step,"The reaction of primary alkyl halides with sodium or potassium phthalimide, followed by hydrolysis, to give the corresponding primary amine.",
188,RXNO:0000302,thermal hydrosilylation,hydrosilylation,"The thermally induced addition of a hydrosilane across the double bond of an alkene or alkyne to give a more substituted silane, usually applied to cases where the hydrosilane is part of a silicon surface.",
189,RXNO:0000473,Arens-van Dorp synthesis,molecular skeleton joining reaction,Reaction of a ketone with ethoxyacetylene to form an alkoxyethynyl alcohol.,
190,RXNO:0000351,aryl reduction to cycloalkyl,hydrogenation,A hydrogenation reaction where an aryl ring is reduced to a cycloalkyl ring.,
191,RXNO:0000069,Dimroth rearrangement,ring rearrangement,A rearrangement of a heterocyclic compound in which endocyclic and exocyclic heteroatoms swap places.,
192,RXNO:0000489,functional group addition objective,functional modification objective,A functional modification objective that is satisfied by a reaction in which a covalent bond is formed between the molecular skeleton and a functional group and where the skeletal bond order is unchanged.,
193,RXNO:0000244,Passerini reaction,molecular skeleton joining reaction,"The reaction between an isonitrile, a carboxylic acid and aldehyde or ketone to give an alpha-acyloxy amide.",
194,RXNO:0000072,Reimer-Tiemann reaction,carbon-carbon coupling reaction,"A formylation reaction between an aromatic compound (for example, phenol, pyrrole or indole) and chloroform (for example, to form an ortho-formyl phenol).",
195,RXNO:0000098,Glaser coupling,carbon-carbon homocoupling reaction,A coupling reaction between two molecules of a terminal alkyne catalysed by Cu(I) salts.,
196,RXNO:0000106,Hunsdiecker reaction,end-of-chain chain shortening,The decarboxylation of silver carboxylates with halogens to give organic halides.,
197,RXNO:0000165,Schotten-Baumann reaction,substitution step,"The coupling of an alcohol or amine with an acyl chloride to give an ester or amide. A two-phase solvent system is often used, to enable the acid generated during the reaction to be neutralised by the aqueous base, while the starting materials and products remain in the organic phase.","[C:1][N,O].[C:2](=[O:3])Cl>>[O:3]=[C:2]O[C:1]"
198,RXNO:0000109,Pfitzinger reaction,ring expansion,The reaction between isatin and an alpha-methylene carbonyl compound to give a substituted quinoline-4-carboxylic acid.,
199,RXNO:0000361,Pinner reaction,functional group modification,A functional group modification where a nitrile reacts with an alcohol under acid catalysis to form an amidine or ester.,
200,RXNO:0000553,Leuckart ketone reaction,Leuckart reaction,Reductive amination of a ketone with ammonium formate or formamide to form an amine.,
201,RXNO:0000327,benzylamine deprotection,amino group deprotection,An amino group deprotection reaction where a benzylamine group is removed by hydrogenation.,
202,RXNO:0000510,Benkeser reduction,addition reaction step,Addition of hydrogen atoms to unsaturated rings by means of alkali metals in low-molecular weight amines.,
203,RXNO:0000232,Petasis reaction,functional group modification,The alkylation of an amine with a boronic acid and an aldehyde to give a substituted amine.,
204,RXNO:0000386,Wallach degradation,ring contraction,Favorskii rearrangement of a cyclic alpha-dibromoketone followed by decarboxylation to yield a ring-contracted cyclic ketone.,
205,RXNO:0000162,Paal-Knorr furan synthesis,Paal-Knorr synthesis,"The cyclisation of a 1,4-dicarbonyl compound with an acid catalyst to give a furan.",O=[C:1]-[C:2]-[C:3]-[C:4]=O>>o1[c:1][c:2][c:3][c:4]1
206,RXNO:0000252,Cadogan carbazole synthesis,carbazole synthesis,The reduction of a 2-nitrobiaryl compound to give a carbazole.,
207,RXNO:0000065,Dieckmann cyclisation,deethanolative condensation,An intramolecular cyclisation of a diester to give a cyclic beta-ketoester.,
208,RXNO:0000059,Pictet-Spengler reaction,fused-ring-system formation,A condensation-cyclisation of a beta-phenethylamine with an aldehyde to give a tetrahydroisoquinoline.,
209,RXNO:0000172,"Schmidt rearrangement, tertiary alcohol",molecular skeleton insertion reaction,The reaction of a tertiary alcohol with hydrazoic acid with rearrangement to form an imide.,
210,RXNO:0000345,heteroaryl N-alkylation,N-alkylation,An N-alkylation reaction where the reactive centre is an azacycle ring nitrogen.,
211,RXNO:0000082,Goldberg reaction,aromatic substitution step,A coupling reaction in which an acetanilide is coupled to an aryl halide to give an N-acetyl diaryl amine in the presence of a copper compound.,
212,RXNO:0000171,"Schmidt rearrangement, ketone",molecular skeleton insertion reaction,The reaction of a ketone with hydrazoic acid with the insertion of an NH group between the carbonyl carbon and one of the R groups to form an amide.,
213,RXNO:0000148,Claisen rearrangement,"[3,3]-sigmatropic rearrangement","The [3,3]-sigmatropic rearrangement of an allyl vinyl ether to give a gamma,delta-unsaturated carbonyl compound.",
214,RXNO:0000548,Sarett primary alcohol oxidation,Sarett oxidation,Oxidation of a primary alcohol with a pyridine-chromium trioxide complex to yield an aldehyde.,
215,RXNO:0000461,intermolecular acyloin condensation,acyloin condensation,A reductive coupling reaction between two ester groups in different molecules to give an acyloin (an alpha-hydroxyketone).,
216,RXNO:0000189,Neber rearrangement,rearrangement step,The rearrangement of the sulfonic ester of a ketoxime in base to give an alpha-amino ketone.,
217,RXNO:0000340,amide N-alkylation,N-alkylation,An N-alkylation where the reactive centre is an amide nitrogen.,
218,RXNO:0000549,Sarett secondary alcohol oxidation,Sarett oxidation,Oxidation of a secondary alcohol with a pyridine-chromium trioxide complex to yield a ketone.,
219,RXNO:0000043,Claisen condensation,molecular skeleton joining reaction,A carbon-carbon coupling reaction of an ester and a carbonyl compound to form a beta-keto ester.,
220,RXNO:0000124,Bamford-Stevens reaction,molecular skeleton elimination reaction,The reaction of a tosylhydrazone of an aldehyde or ketone with a strong base to give an olefin.,
221,RXNO:0000341,aniline N-alkylation,N-alkylation,An N-alkylation where the reactive centre is an aniline nitrogen.,
222,RXNO:0000460,intramolecular acyloin condensation,ring formation reaction step,A reductive coupling reaction between two ester groups in the same molecule to give an acyloin (an alpha-hydroxyketone).,
223,RXNO:0000209,Nazarov cyclisation,ring formation reaction step,The acid-catalysed cyclisation of a divinylketone to give a cyclopentenone.,
224,RXNO:0000527,Chichibabin reaction,substitution step,Reaction of an azacycle with an alkali-metal amide to yield an aminated azacycle.,
225,RXNO:0000529,Bogert-Cook synthesis,fused-ring-system formation,Condensation of beta-phenylethylmagnesium bromide with a cyclohexanone followed by cyclisation and dehydration in concentrated sulfuric acid to yield an octahydrophenanthrene.,
226,RXNO:0000043,Claisen condensation,deethanolative condensation,A carbon-carbon coupling reaction of an ester and a carbonyl compound to form a beta-keto ester.,
227,RXNO:0000050,pinacol rearrangement,rearrangement step,"A rearrangement of a 1,2-diol to give a carbonyl compound, catalysed by acid.",
228,RXNO:0000378,intramolecular Scholl reaction,molecular skeleton joining reaction,Scholl reaction within a single molecule to form a larger ring system.,
229,RXNO:0000147,Emde degradation,cleaving reaction,"A reduction of a quaternary ammonium salt containing at least one unsaturated substituent, to give a tertiary amine.",
230,RXNO:0000081,Ullmann condensation,aromatic substitution step,A coupling reaction in which a phenol is coupled to an aryl halide to give a diaryl ether in the presence of a copper compound.,
231,RXNO:0000445,ortho-Fries rearrangement,Fries rearrangement,Rearrangement of the acyl group in a phenolate ester to the ortho-position.,
232,RXNO:0000504,bicyclic Boulton-Katritzky rearrangement,Boulton-Katritzky rearrangement,Rearrangement of a mancude bicyclo[4.3.0] compound with an unsaturated two-heavy-atom substituent on the six-membered ring alpha to the bridgehead to form a new mancude bicyclo[4.3.0] compound where the five-membered ring has been formed from the two-heavy-atom substituent and the original five-membered ring has been broken.,
233,RXNO:0000356,Jones oxidation,functional group oxidation,An oxidation reaction where an alcohol is oxidized to the corresponding carbonyl compound by a dichromate ion.,
234,RXNO:0000466,polymerisation objective,molecular skeleton joining objective,A molecular transformation objective that is satisfied by a reaction in which a large number of monomers react together to product a polymer consisting of repeating units.,
235,RXNO:0000429,pivaloyl deprotection,hydroxy group deprotection,A hydroxy group deprotection where a pivalate group is removed in acid or base conditions.,
236,RXNO:0000065,Dieckmann cyclisation,ring formation reaction step,An intramolecular cyclisation of a diester to give a cyclic beta-ketoester.,
237,RXNO:0000284,ring-opening metathesis,ring breaking,"A ring-breaking reaction in which two carbon-carbon double bonds are redistributed among two fragments, i.e. an alkene and a cycloalkene. It is typically catalysed by a metal carbenoid, and proceeds via two four-membered intermediates (metallacyclobutanes). The reaction is driven by release of ring strain in the cycloalkene.",
238,RXNO:0000134,Barton-McCombie deoxygenation,functional group reduction,The deoxygenation of an alcohol to the corresponding alkane using a thiochloroformate. It proceeds by a radical mechanism.,
239,RXNO:0000414,haloethanoate ester-aldehyde Darzens reaction,chain lengthening,A coupling of an aldehyde with an alpha-haloethanoate ester to form the next homologous aldehyde.,
240,RXNO:0000467,Algar-Flynn-Oyamada reaction,fused-ring-system formation,A fused-ring-system formation reaction where a flavonol is produced by oxidation of a chalcone with alkaline hydrogen peroxide.,
241,RXNO:0000268,Hantzsch pyridine synthesis,azacycle synthesis,"A ring-forming reaction between two equivalents of a beta-ketoester, an aldehyde and ammonia (or an ammonium salt), to give a dihydropyridine. The dihydropyridine can be oxidised to a pyridine using an oxidising agent.",
242,RXNO:0000368,Crabbé homologation,alkene oxidation,"Oxidation of an alkene to an allene by heating with formaldehyde, an amine and an inorganic salt.",[C:1]=[C:2].[C:3]=O>>[C:1]=[C:2]=[C:3]
243,RXNO:0000121,aza-Payne rearrangement,ring rearrangement,"A base-catalysed isomerisation of a 2,3-epoxyamine to form a hydroxy aziridine, with inversion of configuration at C2.",
244,RXNO:0000530,Bohn-Schmidt reaction,functional group addition step,Reaction of a hydroxylated anthraquinone with fuming sulfuric acid or sulfuric acid in boric acid in the presence of a mercury or selenium catalyst to form a more hydroxylated anthraquinone.,
245,RXNO:0000498,Béchamp reduction,functional group reduction,Reduction of an aromatic nitro compound to the corresponding arene by iron in some form in aqueous acid.,
246,RXNO:0000539,Cope elimination,molecular skeleton elimination reaction,Elimination of a hydroxylamine from an amine oxide by pyrolysis to yield an olefin.,
247,RXNO:0000447,Duff reaction,carbon-carbon coupling reaction,Formylation of a phenol or aromatic amine with hexamethylenetetramine in acidic conditions.,
248,RXNO:0000079,Boc protection,amino group protection,A protection reaction in which an amine is converted into a tert-butoxycarbonyl compound.,
249,RXNO:0000035,Stille coupling,molecular skeleton joining reaction,A carbon-carbon coupling reaction where a stannane reacts with an organohalide or organotriflate.,"[Sn][C:1].[C:2][Cl,Br,I:3]>>[C:1][C:2].[Sn][*:3]"
250,RXNO:0000274,retro-aldol addition,cleaving reaction,"The reverse of an aldol addition, in which a beta-hydroxy ketone fragments to form a carbonyl compound and the enolate of an alpha-acidic carbonyl compound.",
251,RXNO:0000095,Fischer-Hepp rearrangement,rearrangement step,The rearrangement of an aromatic nitrosamine to a para-nitrosoaniline.,
252,RXNO:0000174,Sommelet-Hauser rearrangement,rearrangement step,"The [2,3]-sigmatropic rearrangement of a benzyl quaternary ammonium salt to form an aniline.",
253,RXNO:0000241,nitro-Michael reaction,Michael addition,"A conjugate addition reaction where a carbon nucleophile adds to an alpha,beta-unsaturated nitro compound.",
254,RXNO:0000243,"Noyori asymmetric hydrogenation, carbonyl",functional group reduction,The homogeneous asymmetric catalytic hydrogenation of a carbonyl bond using a ruthenium(II) BINAP catalyst.,
255,RXNO:0000312,Clauson-Kaas reaction,pyrrole synthesis,"A ring rearrangement reaction where an amine reacts with a 2,5-dialkoxytetrahydrofuran to give a pyrrole.",
256,RXNO:0000230,aza-Ferrier rearrangement,rearrangement step,The rearrangement of an O-alkenyl hemiaminal ether to give the corresponding beta-amino carbonyl compound.,
257,RXNO:0000308,Yamaguchi lactonisation,Yamaguchi esterification,"The intramolecular esterification of a carboxylic acid group with an alcohol group using 2,4,6-trichlorobenzoyl chloride (Yamaguchi reagent) - an intramolecular Yamaguchi esterification.",
258,RXNO:0000556,Corey-Fuchs terminal dibromoolefination,olefination,Reaction of an aldehyde with tetrabromomethane and triphenylphosphine to yield a terminal dibromoolefin.,
259,RXNO:0000236,Biginelli reaction,ring formation reaction step,"A three-component coupling of a beta-keto ester, an aldehyde and urea to give a 3,4-dihydropyrimidinone.",
260,RXNO:0000282,enyne metathesis,multiple-bond metathesis,"A joining reaction in which a carbon-carbon double bond and a carbon-carbon triple bond are redistributed among two fragments, i.e. an alkene and an alkyne. It is typically catalysed by a metal carbenoid, and proceeds via two four-membered intermediates (metallacyclobutenes). As a low-MW alkene is not released, the reaction is usually driven by formation of a ring.",
261,RXNO:0000132,Monsanto process,molecular skeleton joining reaction,"The reaction of formaldehyde with methanol to form acetic acid, catalysed by a rhodium complex.",
262,RXNO:0000378,intramolecular Scholl reaction,Scholl reaction,Scholl reaction within a single molecule to form a larger ring system.,
263,RXNO:0000399,Phillips benzimidazole synthesis,benzimidazole synthesis,Reaction of an ortho-diaminobenzene with a carboxylic acid under heat to yield a benzimidazole.,
264,RXNO:0000404,oxa-Pictet-Spengler reaction,oxacycle synthesis,"Cyclisation-condensation of a beta-arylethanol with an aldehyde to yield an ortho-,peri-fused aryl-oxacycle.",
265,RXNO:0000154,Swern oxidation,functional group oxidation,The oxidation of a primary alcohol or secondary alcohol to an aldehyde or ketone respectively. Does not work with allylic or benzylic alcohols.,
266,RXNO:0000092,aza-Diels-Alder reaction,hetero-Diels-Alder reaction,A Diels-Alder reaction between a diene and an imine or an azadiene and an alkene to give a six-membered nitrogen-containing ring compound.,
267,RXNO:0000234,aza-Achmatowicz rearrangement,ring rearrangement,A rearrangement of a furfuryl amine derivative to a tetrahydropyridinone.,
268,RXNO:0000183,Perkow reaction,molecular skeleton joining reaction,The reaction between an alpha-halocarbonyl compound and a trialkyl phosphite to give an enol phosphate.,
269,RXNO:0000358,N-acylation to urea,N-acylation,An acylation reaction where a nitrogen atom is acylated to form a urea.,
270,RXNO:0000413,Zincke nitration,nitration,Substitution of phenol ortho- or para-bromo or iodo groups by a nitro group on treatment with nitrous acid or a nitrite in acetic acid.,
271,RXNO:0000104,Ing-Manske procedure,substitution step,"The reaction of primary alkyl halides with sodium or potassium phthalimide, followed by treatment with hydrazine, to give the corresponding primary amine.",
272,RXNO:0000541,palladium-catalysed Kumada coupling,palladium-catalysed carbon-carbon coupling reaction,A cross-coupling reaction between a Grignard reagent and an activated (aryl or vinyl) halide or triflate. The reaction is catalysed by a palladium catalyst.,
273,RXNO:0000184,Pfitzner-Moffatt oxidation,functional group oxidation,"The oxidation of a primary or secondary alcohol to the corresponding aldehyde or ketone respectively using dimethyl sulfoxide, 1,3-dicyclohexylcarbodiimide and acid. The reaction proceeds via an alkoxysulfonium ylide.",
274,RXNO:0000057,Horner reaction,olefination,A joining reaction between a phosphine oxide and a carbonyl compound to give an olefin.,
275,RXNO:0000235,aza-Henry reaction,carbon-carbon coupling reaction,A carbon-carbon coupling reaction between a nitroalkane and an imine to give a beta-amino nitroalkane.,
276,RXNO:0000456,addition objective,functional modification objective,"A functional modification objective that is satisfied by a reaction in which two or more groups of atoms are added to the molecule, resulting in a change of skeletal bond order.",
277,RXNO:0000249,Bose-Mitsunobu reaction,Mitsunobu reaction,"A Mitsunobu reaction, where an alcohol is converted to something else with inversion at the stereocentre, using diphenylphosphoryl azide.",
278,RXNO:0000308,Yamaguchi lactonisation,oxacycle synthesis,"The intramolecular esterification of a carboxylic acid group with an alcohol group using 2,4,6-trichlorobenzoyl chloride (Yamaguchi reagent) - an intramolecular Yamaguchi esterification.",
279,RXNO:0000427,ketone Barbier reaction,Barbier reaction,A joining reaction between an ketone and an alkyl halide or aryl halide or vinyl halide or allyl halide in the presence of metal to give a tertiary alcohol.,
280,RXNO:0000488,joining with rearrangement objective,molecular skeleton joining objective,A molecular skeleton joining objective that is satisfied by a reaction in which one or more atoms are added to the molecular skeleton and a skeletal rearrangement occurs.,
281,RXNO:0000170,"Schmidt rearrangement, carboxylic acid",end-of-chain chain shortening,"The reaction of a carboxylic acid with hydrazoic acid to give the lower homologue amine, with the loss of the terminal carbon atom.",
282,RXNO:0000218,Cannizzaro reaction,functional group modification,The disproportionation of a non-enolisable aldehyde to the corresponding carboxylic acid and alcohol. The reaction is base-catalysed.,
283,RXNO:0000371,Griess reaction,diazotisation,"A diazotisation that proceeds by the addition of nitrous acid, nitric acid and water, resulting in a diazonium nitrate salt.",
284,RXNO:0000119,Bouveault-Blanc reaction,functional group reduction,The reduction of an ester using sodium to give two alcohols.,
285,RXNO:0000501,Feist-Bénary synthesis,oxacycle synthesis,"Reaction of an alpha-haloketone or alpha-haloether with a 1,3-dicarbonyl compound in the presence of pyridine to yield a substituted furan.",
286,RXNO:0000187,Tishchenko reaction,functional group modification,The formation of an ester from two aldehydes via a disproportionation process using a metal alkoxide to oxidise one aldehyde and reduce the other.,[C:1](=O).[C:2](=O)>>[C:1](=O)O[C:2]
287,RXNO:0000217,"Sakurai reaction, epoxide",ring breaking,A ring-breaking reaction in which an epoxide reacts with allyltrimethylsilane to form a hydroxy alkene.,
288,RXNO:0000511,Madelung indole synthesis,molecular dehydration reaction,Reaction of an N-(2-alkylphenyl)alkanamide with strong base to form an indole.,
289,RXNO:0000477,Rupe rearrangement,rearrangement step,"Rearrangement of a propargyl alcohol to an alpha,beta-unsaturated carbonyl compound via an enyne intermediate to yield the beta-substituted product.",
290,RXNO:0000087,Barton reaction,rearrangement step,The photolytic oxidation of a nitrate ester to give a gamma-nitroalcohol.,
291,RXNO:0000555,Appel bromination with bromine,Appel bromination,Conversion of an alcohol to an alkyl bromide with triphenylphosphine and bromine.,
292,RXNO:0000324,benzyl ether protection,hydroxyl group protection,A hydroxyl group protection where the hydroxyl oxygen atom is protected by formation of a benzyl ether.,
293,RXNO:0000283,ring-closing enyne metathesis,ring formation reaction step,"A joining reaction in which a carbon-carbon double bond and a carbon-carbon triple bond in the same molecule are redistributed to give a alkene-substituted cycloalkene. It is typically catalysed by a metal carbenoid, and proceeds via two four-membered intermediates (metallacyclobutanes). The reaction is driven by formation of the ring.",
294,RXNO:0000245,ring-closing metathesis,ring formation reaction step,"A joining reaction in which two carbon-carbon double bonds in the same molecule are redistributed to give a cycloalkene. It is typically catalysed by a metal carbenoid, and proceeds via two four-membered intermediates (metallacyclobutanes). The reaction is driven by release of a low-MW alkene.",
295,RXNO:0000072,Reimer-Tiemann reaction,formylation,"A formylation reaction between an aromatic compound (for example, phenol, pyrrole or indole) and chloroform (for example, to form an ortho-formyl phenol).",
296,RXNO:0000458,molecular ring rearrangement objective,molecular transformation objective,A molecular transformation objective that is satisfied by a reaction in which the number of skeletal rings in a molecule stays the same but the connectivity of the atoms in at least one ring changes.,
297,RXNO:0000215,"Sakurai reaction, acetal or ketal",Sakurai reaction,A carbon-carbon coupling reaction in which an acetal or ketal reacts with allyltrimethylsilane to form a homoallylic ether.,
298,RXNO:0000236,Biginelli reaction,molecular dehydration reaction,"A three-component coupling of a beta-keto ester, an aldehyde and urea to give a 3,4-dihydropyrimidinone.",
299,RXNO:0000128,Kolbe electrolysis,carbon-carbon coupling reaction,The decarboxylation and coupling of a carboxylate or mixture of carboxylates to give a dimer.,
300,RXNO:0000145,Barbier-Wieland degradation,end-of-chain chain shortening,The degradation of a carboxylic acid to its next lower homologous carboxylic acid.,
301,RXNO:0000272,hydroformylation,molecular skeleton joining reaction,"The reaction of hydrogen and carbon monoxide with an alkene, to give an aldehyde, catalysed by a rhodium or cobalt catalyst. The process is equivalent to the formal addition of the H-C bond of formaldehyde across the double bond of an alkene.",
302,RXNO:0000434,tert-butyl ester deprotection,carboxy group deprotection,A deprotection reaction where the reactant is a tert-butyl ester and the product is a carboxylic acid.,
303,RXNO:0000457,molecular ring expansion objective,molecular transformation objective,A molecular transformation objective that is satisfied by a reaction in which an existing skeletal ring is increased in size.,
304,RXNO:0000551,reductive imination,functional group modification,A functional group modification where a carbonyl oxygen is replaced by an imine.,
305,RXNO:0000029,oxy-Cope rearrangement,rearrangement step,"A [3,3]-sigmatropic rearrangement of a 3-hydroxy-1,5-hexadiene rearranges to form a 5,6-unsaturated carbonyl compound.",
306,RXNO:0000405,Prilezhaev epoxidation,epoxidation,Epoxidation of an alkene by reaction with a peroxy acid.,
307,RXNO:0000140,Suzuki-Miyaura coupling,carbon-carbon coupling reaction,"The coupling of a boronic acid or boronic ester with an unsaturated halide, triflate or sulfonate catalysed by a palladium(0) complex.",
308,RXNO:0000394,Knorr quinoline synthesis,quinoline synthesis,Synthesis of an alpha-hydroxyquinoline by reaction of a beta-ketoester and an arylamine then dehydration with concentrated sulfuric acid.,
309,RXNO:0000125,Shapiro reaction,molecular skeleton elimination reaction,The reaction of a tosylhydrazone of an aldehyde or ketone with an alkyllithium or Grignard reagent to give an olefin.,
310,RXNO:0000269,alkyne-azide click reaction,[3+2] cycloaddition,"A [3+2] cycloaddition reaction between an azide and an alkyne to give a 1,2,3-triazole, needing only heat to proceed.",
311,RXNO:0000163,Paal-Knorr thiophene synthesis,thiacycle synthesis,"The cyclisation of a 1,4-dicarbonyl compound with phosphorus pentasulfide to give a thiophene.",O=[C:1]-[C:2]-[C:3]-[C:4]=O.S=P13SP2(=S)SP(=S)(S1)SP(=S)(S2)S3>>s1[c:1][c:2][c:3][c:4]1
312,RXNO:0000326,Boc deprotection,amino group deprotection,An amino group deprotection reaction where a tertbutoxycarbonyl group is removed in acid conditions.,
313,RXNO:0000175,Dakin-West reaction,molecular skeleton joining reaction,The reaction of an amino acid with an acid anhydride to give an alpha-acylamido ketone. The reaction proceeds via the mixed anhydride and an oxazolone; the product is always racemic.,
314,RXNO:0000402,Pinner pyrimidine synthesis,pyrimidine synthesis,"Reaction of a 1,3-dicarbonyl compound with an amidine to yield a pyrimidine.",
315,RXNO:0000366,nitrile to acid conversion,functional group modification,A functional group modification where a nitrile is transformed into a carboxylic acid.,
316,RXNO:0000431,carboxylic acid to primary alcohol reduction,reduction,A carboxylic acid reduction where the product is the corresponding primary alcohol.,
317,RXNO:0000342,nitrile reduction to amine,reduction,A reduction where a nitrile is replaced by an amine function.,
318,RXNO:0000062,Skraup reaction,molecular dehydration reaction,A condensation between an aromatic amine and glycerol to give a quinoline.,
319,RXNO:0000210,Fleming-Tamao oxidation,substitution step,"The stereospecific oxidation of a (phenyldimethylsilyl)alkane to the corresponding alcohol using bromine, usually generated in situ from potassium bromide and peracetic acid.",
320,RXNO:0000262,"[1,2]-aza-Wittig rearrangement",Wittig rearrangement,"A base-mediated 1,2-sigmatropic rearrangement of a tertiary amine to give a secondary amine.",
321,RXNO:0000522,Betti reaction,molecular skeleton joining reaction,"Reaction of a phenol, an aromatic aldehyde and a primary aromatic or heterocyclic amine to yield a Betti's base, also known as an alpha-aminobenzylphenol.",
322,RXNO:0000240,Bergman cyclisation,ring formation reaction step,"The cyclisation of an ene-diyne to give a 1,4-diradical cyclohexatriene. The diradical usually aromatises.",
323,RXNO:0000503,monocyclic Boulton-Katritzky rearrangement,Boulton-Katritzky rearrangement,"Rearrangement of an azapentacycle containing a -N= system where there is an unsaturated three-heavy-atom substituent XYZ on the substituent double-bonded to the nitrogen, to a new azapentacycle where the pivotal nitrogen has broken its single bond and formed a new bond with atom Z.",
324,RXNO:0000515,Bergmann azlactone peptide synthesis,molecular skeleton joining reaction,"Reaction of an acetylated amino acid with an aldehyde then with a second amino acid, then hydrogenation and hydrolysis to form a dipeptide. It proceeds via an azlactone intermediate.",
325,RXNO:0000298,Fetizon oxidation,functional group oxidation,The oxidation of a primary alcohol to an aldehyde or a secondary alcohol to a ketone using Fetizon's reagent.,
326,RXNO:0000097,imino-Reformatsky reaction,Reformatsky reaction,A carbon-carbon coupling reaction where an imine reacts with a alpha-halo ester and zinc to form a beta-amino ester.,
327,RXNO:0000117,Julia olefination,olefination,A carbon-carbon coupling reaction between a phenyl sulfone and an aldehyde or ketone to give a (typically trans) alkene.,
328,RXNO:0000227,"Wolff-Kishner reduction, Huang-Minlon modification",Wolff-Kishner reduction,"The reduction of an aldehyde or ketone to the corresponding methylene compound, using hydrazine hydrate and a base in refluxing ethylene glycol.",
